Hyb_Signal_GREEN,Assay_Signal_GREEN_maxLigand,Assay_Signal_GREEN_almostMaxLigand,Assay_Signal_RED_maxLigand,Assay_Signal_RED_almostMaxLigand
30901.67274,20962.33333,23171.33333,2186,468
28958.102,18944.5,21552.33333,2189,366.3333333
30006.47834,19145.16667,21674.5,2134.5,416.2
28476.74992,18716.5,21177,2860.2,414.2
27813.01196,17860.33333,19619.33333,2447.2,351.1666667
29707.48142,20863.16667,21965.16667,2099.833333,534.5
32230.45151,24536.33333,25731.16667,2096.333333,426.3333333
29541.10294,21683.66667,22321.5,2340.166667,397.3333333
27766.13423,20097.83333,21291,1919.2,393
26884.29301,18950,19852.66667,1999.833333,493.8333333
23822.71978,14755.16667,16494.5,2429.166667,336.3333333
26654.89512,17854.66667,18703,1979,367.5
23256.14382,13090.16667,14731.5,2528.666667,490.2
18989.76156,9068.833333,10070.16667,2583.4,410.3333333
17243.08539,7575.166667,8278.333333,2588.333333,435.3333333
34168.11289,23744.66667,24081.33333,2375.166667,395.6666667
32528.45825,22069.16667,23539.5,2081.8,423.6
34445.93225,25558.5,26246.83333,1905,390.8333333
32199.17191,22652.5,24806.66667,1968.5,406.8333333
29298.50477,22485.83333,22635,3647.666667,568.3333333
27829.74341,18771,20463.83333,2556.2,380.2
29893.67326,20532.5,21926.66667,2066.5,355.8333333
31493.03192,22955.5,21944.33333,2212.666667,388.1666667
32976.58377,24970.66667,24567.16667,2213,508.8333333
30951.31199,21259.33333,23163,2353,347.8333333
32264.9695,23240.33333,25360,2017.5,429.8333333
31845.49282,22304.66667,25663,2396.666667,340.6666667
30386.26835,20896.33333,22940.33333,2248.333333,401.5
32110.80571,25335.66667,25803,2149.5,328.3333333
31805.01357,24612,24789.5,2147.4,392.1666667
31257.23224,24015.5,23563.33333,2200.5,531.8333333
27535.14666,19653.83333,20750.66667,2122.2,421.6666667
28730.31297,21746,21009.33333,2031.333333,420.1666667
27965.57276,19057.66667,20523.66667,2124.666667,555.4
28100.13171,19343.66667,20591.66667,2130.166667,381.3333333
26088.83428,17197,17873.33333,2268.666667,508
20865.39366,11093.16667,11198.33333,2270.5,483.6666667
8043.544784,3512.666667,3667.5,3495.5,628
10908.43687,4700,5484.333333,2875.666667,735.1666667
16612.18158,6370.833333,6986.833333,4317.166667,831
4800.480429,1237.333333,1962.833333,2414.666667,243.8333333
10449.76018,4891,5861.666667,3351.833333,350
9281.612295,3830.666667,5257.833333,2372,366.8333333
10629.25122,3202.666667,5258,2093.6,313.8333333
18151.11379,9492.166667,12439.16667,2278.833333,310
20871.21465,13084.16667,14760,2455.8,365.3333333
17852.63277,9518.333333,12591.5,2387.4,368
18596.20889,9194,13181.16667,2353.833333,298.5
11982.40546,4748.666667,7093.166667,2687.666667,330.8
6164.016809,3022.5,3585.666667,1923.666667,252.3333333
9014.091619,4419.333333,4961.333333,2508.666667,278.3333333
17179.62587,7751.666667,11832.66667,2690.5,392.8333333
17846.7715,8283.833333,12087.5,2904.666667,356
17395.7395,8630.333333,11744.16667,2439.6,309.5
21764.15467,13619.16667,16006.33333,2241.666667,283.1666667
18261.08341,9855.833333,12509.83333,2098.166667,313
20252.82584,10949.66667,14496.5,2221.5,386.2
8020.039299,3223.833333,4241.333333,1940.166667,292.1666667
5154.988952,1897.833333,2393.333333,2174.166667,305.8
1715.123185,532.5,770.8333333,1933.333333,356.6
3733.101562,1417.166667,1650.833333,2421.5,446.1666667
7336.595644,2279.333333,2803,2948.833333,438.6666667
2096.665593,665,963,2003.5,326
4353.456716,1504.666667,2034,2502.333333,349
1072.797625,385.6666667,523.6666667,1889.5,291.8
21551.32599,10281,10543.16667,8196.833333,3067
17099.67799,6756.666667,7295.333333,4902.333333,1012.8
25163.64362,12117.33333,14933.66667,3558.333333,549.8333333
